tourney_year_id,Classification
1978-652,
1978-404,
1978-389,
1978-402,
1978-681,
1978-205,
1978-206,
1978-710,
1978-683,
1978-408,
1978-716,
1978-254,
1978-407,
1978-410,
1978-280,
1978-405,
1978-,
1978-356,
1978-413,
1978-711,
1978-601,
1978-615,
1978-610,
1978-414,
1978-310,
1978-416,
1978-308,
1978-520,Grand Slam
1978-406,
1978-725,
1978-311,
1978-277,
1978-540,Grand Slam
1978-422,
1978-415,
1978-314,
1978-315,
1978-316,
1978-321,
1978-418,
1978-317,
1978-319,
1978-663,
1978-707,
1978-705,
1978-715,
1978-343,
1978-717,
1978-349,
1978-421,
1978-320,
1978-302,
1978-412,
1978-417,
1978-560,Grand Slam
1978-801,
1978-819,
1978-423,
1978-347,
1978-342,
1978-295,
1978-424,
1978-324,
1978-309,
1978-425,
1978-326,
1978-427,
1978-328,
1978-264,
1978-337,
1978-332,
1978-428,
1978-7302,
1978-429,
1978-336,
1978-333,
1978-430,
1978-359,
1978-362,
1978-303,
1978-312,
1978-680,
1978-426,
1978-361,
1978-3934,
1978-338,
1978-580,Grand Slam
1978-605,Finals
1979-713,
1979-301,
1979-601,
1979-816,
1979-712,
1979-401,
1979-660,
1979-802,
1979-1725,
1979-404,
1979-709,
1979-389,
1979-6880,
1979-205,
1979-402,
1979-710,
1979-304,
1979-715,
1979-714,
1979-716,
1979-408,
1979-357,
1979-,
1979-407,
1979-206,
1979-410,
1979-711,
1979-405,
1979-254,
1979-356,
1979-413,
1979-610,
1979-615,
1979-310,
1979-414,
1979-416,
1979-308,
1979-520,Grand Slam
1979-406,
1979-311,
1979-277,
1979-720,
1979-540,Grand Slam
1979-415,
1979-314,
1979-315,
1979-418,
1979-316,
1979-321,
1979-317,
1979-319,
1979-1727,
1979-705,
1979-1728,
1979-707,
1979-343,
1979-717,
1979-320,
1979-349,
1979-421,
1979-417,
1979-422,
1979-560,Grand Slam
1979-412,
1979-801,
1979-423,
1979-325,
1979-309,
1979-424,
1979-323,
1979-324,
1979-425,
1979-330,
1979-326,
1979-328,
1979-427,
1979-329,
1979-337,
1979-332,
1979-7302,
1979-428,
1979-336,
1979-353,
1979-429,
1979-359,
1979-333,
1979-430,
1979-312,
1979-1729,
1979-303,
1979-361,
1979-426,
1979-3934,
1979-7308,
1979-338,
1979-580,Grand Slam
1979-605,Finals
1980-713,
1980-301,
1980-601,
1980-243,
1980-816,
1980-712,
1980-401,
1980-802,
1980-358,
1980-1725,
1980-404,
1980-709,
1980-389,
1980-355,
1980-205,
1980-402,
1980-206,
1980-710,
1980-407,
1980-714,
1980-357,
1980-348,
1980-7305,
1980-716,
1980-408,
1980-,
1980-410,
1980-715,
1980-346,
1980-405,
1980-711,
1980-254,
1980-423,
1980-413,
1980-610,
1980-275,
1980-615,
1980-415,
1980-310,
1980-414,
1980-416,
1980-308,
1980-520,Grand Slam
1980-583,
1980-406,
1980-311,
1980-720,
1980-208,
1980-540,Grand Slam
1980-314,
1980-315,
1980-316,
1980-417,
1980-321,
1980-317,
1980-319,
1980-418,
1980-705,
1980-707,
1980-343,
1980-717,
1980-320,
1980-349,
1980-421,
1980-412,
1980-422,
1980-560,Grand Slam
1980-347,
1980-325,
1980-801,
1980-323,
1980-322,
1980-424,
1980-309,
1980-324,
1980-425,
1980-326,
1980-330,
1980-328,
1980-376,
1980-427,
1980-331,
1980-329,
1980-337,
1980-332,
1980-7302,
1980-428,
1980-336,
1980-353,
1980-429,
1980-359,
1980-333,
1980-430,
1980-334,
1980-312,
1980-303,
1980-361,
1980-426,
1980-3934,
1980-364,
1980-338,
1980-580,Grand Slam
1980-605,Finals
1981-7308,
1981-301,
1981-601,
1981-345,
1981-358,
1981-401,
1981-204,
1981-392,
1981-802,
1981-1725,
1981-404,
1981-402,
1981-294,
1981-389,
1981-355,
1981-406,
1981-206,
1981-346,
1981-304,
1981-407,
1981-408,
1981-356,
1981-357,
1981-348,
1981-351,
1981-405,
1981-254,
1981-,
1981-423,
1981-410,
1981-347,
1981-413,
1981-610,
1981-615,
1981-415,
1981-310,
1981-414,
1981-308,
1981-416,
1981-520,Grand Slam
1981-273,
1981-311,
1981-313,
1981-702,
1981-540,Grand Slam
1981-314,
1981-315,
1981-417,
1981-319,
1981-321,
1981-316,
1981-317,
1981-418,
1981-705,
1981-707,
1981-343,
1981-717,
1981-320,
1981-421,
1981-349,
1981-412,
1981-422,
1981-560,Grand Slam
1981-325,
1981-801,
1981-323,
1981-322,
1981-424,
1981-309,
1981-324,
1981-425,
1981-326,
1981-330,
1981-328,
1981-427,
1981-331,
1981-329,
1981-337,
1981-332,
1981-7302,
1981-428,
1981-336,
1981-353,
1981-429,
1981-333,
1981-430,
1981-334,
1981-303,
1981-312,
1981-426,
1981-362,
1981-361,
1981-364,
1981-338,
1981-580,Grand Slam
1981-605,Finals
1982-393,
1982-601,
1982-301,
1982-201,
1982-7303,
1982-803,
1982-401,
1982-204,
1982-303,
1982-389,
1982-344,
1982-402,
1982-802,
1982-404,
1982-206,
1982-808,
1982-345,
1982-406,
1982-351,
1982-804,
1982-407,
1982-7305,
1982-809,
1982-408,
1982-810,
1982-348,
1982-,
1982-410,
1982-405,
1982-423,
1982-347,
1982-610,
1982-413,
1982-309,
1982-346,
1982-724,
1982-415,
1982-615,
1982-310,
1982-414,
1982-308,
1982-416,
1982-520,Grand Slam
1982-311,
1982-702,
1982-313,
1982-540,Grand Slam
1982-314,
1982-315,
1982-316,
1982-417,
1982-321,
1982-811,
1982-317,
1982-319,
1982-418,
1982-812,
1982-705,
1982-707,
1982-343,
1982-717,
1982-320,
1982-421,
1982-813,
1982-422,
1982-349,
1982-560,Grand Slam
1982-325,
1982-801,
1982-323,
1982-322,
1982-814,
1982-424,
1982-324,
1982-425,
1982-331,
1982-328,
1982-427,
1982-806,
1982-815,
1982-329,
1982-337,
1982-332,
1982-7302,
1982-428,
1982-816,
1982-336,
1982-353,
1982-429,
1982-327,
1982-333,
1982-430,
1982-704,
1982-334,
1982-817,
1982-237,
1982-726,
1982-240,
1982-426,
1982-818,
1982-580,Grand Slam
1982-338,
1982-819,
1982-7308,
1982-340,
1982-605,Finals
1983-601,
1983-301,
1983-805,
1983-201,
1983-344,
1983-401,
1983-802,
1983-402,
1983-204,
1983-803,
1983-404,
1983-345,
1983-406,
1983-304,
1983-804,
1983-407,
1983-408,
1983-,
1983-410,
1983-405,
1983-723,
1983-342,
1983-423,
1983-724,
1983-347,
1983-413,
1983-309,
1983-346,
1983-610,
1983-415,
1983-615,
1983-310,
1983-414,
1983-308,
1983-416,
1983-520,Grand Slam
1983-311,
1983-702,
1983-313,
1983-540,Grand Slam
1983-314,
1983-315,
1983-316,
1983-417,
1983-321,
1983-317,
1983-319,
1983-418,
1983-705,
1983-707,
1983-343,
1983-717,
1983-320,
1983-421,
1983-422,
1983-349,
1983-560,Grand Slam
1983-388,
1983-325,
1983-323,
1983-322,
1983-424,
1983-324,
1983-425,
1983-326,
1983-328,
1983-427,
1983-330,
1983-329,
1983-337,
1983-332,
1983-428,
1983-336,
1983-429,
1983-333,
1983-430,
1983-703,
1983-726,
1983-426,
1983-327,
1983-580,Grand Slam
1983-338,
1983-7308,
1983-340,
1983-605,Finals
1984-301,
1984-601,
1984-401,
1984-402,
1984-802,
1984-404,
1984-309,
1984-406,
1984-7305,
1984-407,
1984-408,
1984-718,
1984-306,
1984-405,
1984-820,
1984-431,
1984-,
1984-410,
1984-342,
1984-610,
1984-415,
1984-310,
1984-414,
1984-416,
1984-308,
1984-615,
1984-520,Grand Slam
1984-311,
1984-313,
1984-540,Grand Slam
1984-314,
1984-315,
1984-316,
1984-417,
1984-321,
1984-317,
1984-319,
1984-418,
1984-318,
1984-705,
1984-320,
1984-717,
1984-343,
1984-421,
1984-422,
1984-560,Grand Slam
1984-423,
